Indigenismo en Cuba,9-ene.,16-ene.,Guantánamo,Oficina del Historiador de Baracoa,SAN CRISTÓBAL,Silvia Garcia          ,,,grup_comerc@viajessancristobal.cu,
LVII Premio Literario Casa de las Américas,19-ene.,29-ene.,"La Habana, Cienfuegos",Casa de las Américas,PARADISO,Dr. Roberto Fernandez Retamar,(53 7) 838 2706 - 09,(53 7) 838 2703,direccioncil@casa.cult.cu ,www.casadelasamericas.org
3 Pasantía Asociación Chilena de Municipalidades,20-ene.,6-feb.,La Habana,Hotel Comodoro,Gaviota Tours,Ariel Medina (Asociación Chilena de Municipalidades),,,,
XV Jornada Internacional de Derecho de Contratos,20-ene.,22-ene.,La Habana,Hotel Nacional de Cuba,CUBATUR,"Msc. Migdalia Velázquez Pérez
", (53 7) 832 29680,(53 7) 833 3382 ,"unjc@unjc.co.cu, cuba.juristas@yahoo.es",www.unjc.co.cu
II Conferencia Internacional: Con Todos y Para el Bien de Todos,25-ene.,28-ene.,La Habana,Palacio de las Convenciones,"Paradiso, Cubatur y Amistur ","Dr Armando Hart                                                

  
 ", (53 7) 833 981; 838 2233,,hpardo@cubarte.cult.cu,www.porelbiendetodos.com
Feria Internacional del Libro.,12-feb.,22-feb.,La Habana,Morro Cabaña,Paradiso,"Zuleica Romay Guerra 
",(53 7) 832 9559; 832 8829,(53 7) 866 8446; 833 3441,"presidencia@icl.cult.cu, feria@ccl.cult.cu, direccion@ccl.cult.cu ",www.camaradelibro.cult.cu
Universidad 2016. X Congreso Internacional de Educación Superior ,15-feb.,19-feb.,La Habana,Palacio de las Convenciones,HAVANATUR,Dr. Omar Herrera Martínez        , (53 7) 835 1083,,congresouniversidad@mes.gob.cu,www.congresouniversidad.cu
Evento Cientifico Bibliotecológico,10-feb.,13-feb.,La Habana,Biblioteca Nacional,PARADISO,"Margarita Bellas Vilariño
",(53 7) 881 8908,,mbellas@bnjm.cu,www.bnjm.cu 
Intercambio Científico entre Profesionales Cubanos y Norteamericanos,22-feb.,26-feb.,Camagüey,APC de Camagüey. ,HAVANATUR,"DrC. Gilberto García Batista 
", (53 7)  202 5478;  (53 43) 519745; (53 7)  202 5420; 202 5478; 206 5629,,"presidente@apc.rimed.cu, apc@apc.rimed.cu, eventos@apc.rimed.cu",
European Latin American Conference of Theoretical and Applied Mechanics (ELACTAM 2016) (SC),22-feb.,24-feb.,La Habana,Universidad de La Habana,CUBATUR,Albrecht Bertram                                                   Dr. Reinaldo Rodríguez Ramos                                                                , 0049(0)391+6758062; (53 7)  8790890,(53 7) 8736310,"albrecht.bertram@ovgu.de, reinaldo@matcom.uh.cu",www.uni-magdeburg.de/ifme/festigkeit.html
Seminario Científico Estudiantil XXIV Encuentro Interfacultades BUAP - UC Arquitectura y Urbanismo,22-feb.,28-feb., Camagüey,Universidad de Camagüey,CUBATUR,Dr. Aymee Alonso.                                                           ,, (53 32) 262487,aymee.alonso@reduc.edu.cu ,
XVIII Festival del Habano.,29-feb.,4-mar.,La Habana,Palacio de las Convenciones,HAVANATUR,"Eloisa Castellanos
",(53 7) 204 0513; 204 0514,,"agarcia@palco.cu, ecastellanos@habanos.cu",www.habanos.com
IX Encuentro Interamericano de Derecho Laboral y de Seguridad Social.               X Encuentro Internacional de los abogados laboralistas y del movimiento sindical. ,2-mar.,4-mar.,La Habana,Hotel Nacional de Cuba,CUBATUR,Msc. Migdalia Velázquez Pérez,(53 7) 832 29680,(53 7) 833 3382,"unjc@unjc.co.cu, cuba.juristas@yahoo.es ",www.unjc.co.cu
VII Taller Iberoamericano de Enseñanza de la Física Universitaria y Curso Centroamericano y del Caribe del Física       ,7-mar.,11-mar.,La Habana,Universidad de la Habana,VIAJES CUBANACÁN S.A.,"Octavio Calzadilla Amaya  
",(53 7) 873 0042; 878 3969,,calza@fisica.uh.cu,
"Simposio Internacional de Calidad en el Laboratorio. IX Congreso Nacional de Patología Clínica, CONAPAC 2016",9-mar.,11-mar.,La Habana,Palacio de las Convenciones,CUBATUR,Dr. Enrique Abraham Marcel                                                                                                                                           ,(53 7) 641 3617; 293 6584,,abrahamn@infomed.sld.cu,
XII Conferencia Internacional de Investigación Operacional (ICOR 2016),14-mar.,17-mar.,La Habana,Hotel Habana Riviera,CUBATUR,Dra. Sira Allende Alonso                                             ,(53 7) 878 8690,,sira@matcom.uh.cu ,
Informática 2016. XVI Edición de la Convención y Feria Internacional de Informática,14-mar.,18-mar.,La Habana,Palacio de las Convenciones,HAVANATUR,Magda Brito D´Toste,(537) 882 8210,,magda.brito@mincom.gob.cu,www.informaticahabana.com
Premio de Musicología Casa de las Américas y Coloquio Internacional de Musicología,14-mar.,18-mar.,La Habana,Casa de las Américas,Paradiso,María Elena Vinueza González ,(53 7) 838 2706 al 09,(53 7) 838 2703,musica@casa.cult.cu,www.casadelasamericas.org
V Congreso Internacional de Mejoramiento Animal,15-mar.,18-mar.,La Habana,Hotel Habana Libre,Paradiso ,"Dr. Ramón Denis García
Tel.:  Fax:  

",(53 7) 682 6512; 682 9408                                    ,(53 7) 682 9408,"evento2016@cima-minag.cu, mejoramiento-animal2016@cima-minag.cu",www.cima-minag.cu
VII Taller Iberoamericano de Enseñanza de la Física Universitaria y Curso Centroamericano y del Caribe de Física       ,7-mar.,11-mar.,La Habana,Universidad de la Habana.,VIAJES CUBANACÁN S.A.,"Octavio Calzadilla Amaya  
",(53 7) 873 0042; 878 3969 ,,calza@fisica.uh.cu ,
"XVI Convención y Feria Internacional  XI Feria Internacional de la
de Informática.",15-mar.,18-mar.,La Habana,PABEXPO,,,,,,
XI Jornada  Internacional de  la Sociedad del Notariado Cubano. ,16-mar.,18-mar.,La Habana,Hotel Nacional de Cuba,VIAJES CUBANACÁN S.A.,Msc. Migdalia Velázquez Pérez,(53 7) 832 29680,(53 7) 833 3382                                  ,"unjc@unjc.co.cu, cuba.juristas@yahoo.es",www.unjc.co.cu 
XXII Encuentro Internacional de Academias para la enseñanza del ballet y 14º Concurso de jóvenes bailarines,20-mar.,3-abr.,La Habana,Escuela Nacional de Ballet y Teatro Nacional,Paradiso,"Maître Ramona de Saá Bello  
      
    ",(53 7) 866 0143; 861 6629,,"enballet@cubarte.cult.cu, direccion@cneart.cult.cu  ",www.enballet.cu
XXI Modelo de Naciones Unidas de La Habana. HAVMUN 2016,21-mar.,24-mar.,La Habana,Universidad de La Habana,HAVANATUR,Dra. Marta Fernández Martínez.                                 ,(53 7) 878 4548 ext. 101 y 104,,mfernandez@lex.uh.cu,
Riego 2016. VI Congreso Internacional de Riego y Drenaje. VI Congreso Internacional de Mecanización Agrícola 2016,22-mar.,25-mar.,Villa Clara,"Hotel Meliá Las Dunas, Cayo Santa María",ECOTUR,"Dr. Pedro D. Sotto Batista
",(53 7) 645 1731; 645 1353,,convencion2016@iagric.cu,
"XIII Encuentro internacional de Ciencias Penales 2016. Primer Evento Legalidad, Derecho y Sociedad. ",23-mar.,25-mar.,La Habana,Palacio de las Convenciones.,CUBATUR ,"Patricia María Rizo Cabrera 
","(53 7) 214 0001 al 03 ext. 102, 103, 107",,"relaciones@fgr.cu, relaciones@5ta.fgr.cu ",www.fgr.cu
The Physics and Applications of High Brightness Beams (SC),27-mar.,31-mar.,La Habana,Hotel Nacional de Cuba.,HAVANATUR,Dr. Fidel Antonio Castro Smirnov.                              ,,,fide@uci.cu ,
XI Simposio Internacional sobre Educación y Cultura en Iberoamérica,28-mar.,1-abr.,Matanzas,Centro de Convenciones Plaza América Varadero. Matanzas,VIAJES CUBANACÁN S.A.,Dr. C. Elmys Escribano Hervis.                               ,(53 45) 291503,,eescribano@ucp.ma.rimed.cu,
IX Congreso Internacional Didácticas de las Ciencias. XIV Taller Internacional sobre la Enseñanza de la Física.,28-mar.,1-abr.,La Habana,Palacio de las Convenciones.,CUBATUR,"Carlos Sifredo Barrios                                           Roberto Álvarez González  
",(53 7) 838 3422,,didacien@mined.rimed.cu,www.didacien.rimed.cu
Congreso Internacional de Investigadores sobre la Juventud,29-mar.,2-abr.,La Habana,Palacio de las Convenciones.,CUBATUR,Yoslaine González Ramos,,,yoslaine@econ.ujc.cu ,
TECNOLASER 2016,29-mar.,1-abr.,La Habana,Museo Bellas Artes,SERVICIOS GLOBAL S.A. Y CUBATUR,Dr. Iván Padrón Díaz,(53 7) 209 3920; (53 7) 203 1224                                        ,(53 7) 202 1518,tecnolaser@ceaden.edu.cu ,www.ceaden.cu/tecnolaser/index.asp
CUBASOLAR,1-abr.,15-abr.,Holguín,Hotel Brisas Guardalavaca. ,CUBATUR,Lic. Eliseo Gavilán Sáez,(53 7) 206 20-61; 204 0010,,cubasolar2016@cubasolar.cu,www.cubasolar.cu
XI Feria Internacional de la Construcción. FECONS,5-abr.,9-abr., La Habana,PABEXPO.,,,,,,
Arquitectura Vernácula ,16-abril,16-abril,La Habana,Cátedra de Arquitectura Vernácula. ,SAN CRISTÓBAL,Silvia García                                                ,,,grup_comerc@viajessancristobal.cu,
VII Conferencia sobre Desarrollo Agropecuario y Sostenibilidad,5-abr.,9-abr.,Villa Clara,Hotel Starfish Cayo Santa María y Universidad Central de Las Villas.,Gaviota Tours,MSc. Yuly González Rodríguez                                        Dr. C. Amed Chacón Iznaga.,(53 42) 281692                                                       ,(53 42) 281608                                 ,"yulygr@uclv.edu.cu, agrocentro@uclv.edu.cu, ahmedci@uclv.edu.cu",
II Congreso Internacional de Promoción de la Salud. X Taller Regional de Promoción y Educación para la Salud en el Ambito Escolar y Universitario,4-Apr,8-Apr,La Habana,Palacio de las Convenciones de La Habana,Havanatur,Dra. Rosaida Ochoa Soto  ,(53 7) 830 4902                                                        ,,rosaida@infomed.sld.cu,
XI Conferencia Cientifico Técnica de la Construccion,5-abr.,7-abr.,La Habana,Palacio de las Convenciones. ,HAVANATUR,"Dr. Ing. Antonio Amaury Medina Morante
",(53 7) 881 3865                                                  ,,amauri@micons.cu,
Simposio Internacional de Biotecnología Vegetal,5-abr.,8-abr.,Villa Clara,Hotel Eurostars Cayo Santa María. Cayos de Villa clara,Gaviota Tours,Maydelis Menéndez Gómez  ,(53 42) 281257; 281268; 281694                                                                ,,maydelis@ibp.co.cu,
15 Muestra Jóven. ICAIC,5-abr.,10-abr.,La Habana,"Cine Chaplin, Cine 23 y 12 y otros.",Paradiso,Marisol Rodríguez Rosabal ,(53 7) 831 9736 ,,,"www.cubacine.cu, www.muestrajoven.cult.cu "
X Congreso Internacional FRATEROS 16. XXII Congreso Centroamericano y del Caribe de Cardiología Intervencionista,6-Apr,8-Apr,La Habana,Palacio de las Convenciones.,CUBATUR,Dr. José Emilio Fernández-Brito Rodríguez                                  ,(53 7) 881 4911; 881 6365                                 ,,fbrito@infomed.sld.cu,
IX Encuentro Científico Internacional Nimomeeting 2016,7-abr.,10-abr.,Matanzas,Hotel Meliá Marina Varadero,VIAJES CUBANACÁN S.A.,Patricia Piedra Sierra,(53 7) 271 5057  ext:111                                          ,(53 7) 273 3509,patrip@cim.sld.cu ,
Conferencia Internacional Socialismo del Siglo XXI: una nueva alternativa.,13-abr.,14-abr.,Holguín,Instituto Superior Minero Metalúrgico de Moa (ISMMM). ,HAVANATUR,Dr.C: Ángel O Columbié Navarro.,,,"acolumbie@ismm.edu.cu, esantos@ismm.edu.cu  ",
VII Congreso Iberoamericano de Cardiología Nuclear e Imagen Cardiaca,14-Apr,16-Apr,La Habana,Palacio de las Convenciones.,Havanatur,Dra. Amelia Peix Gonzalez         ,(53 7) 830 0831,,peix@infomed.sld.cu,
